nomcoor,municipi,lloc,estil,epoca,lat,lon,prot,idprot,imatge
Ferrera (Calaf),Calaf,"Pista forestal sortint de la crta. BV-1001, km 3","Romànic, renaixement","XIV-XV, XVII",41.725941,1.496487,BCIN,572-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Ferrera_(Calaf)_-_1.jpg/218px-Ferrera_(Calaf)_-_1.jpg
Plaça Gran de Calaf,Calaf,Pl. Gran,"Gòtic tardà, barroc",XVII,41.73399,1.51096,BCIN,317-CH,http://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Plaça_Gran_de_Calaf_-_1.jpg/218px-Plaça_Gran_de_Calaf_-_1.jpg
Castell de Calonge de Segarra,Calonge de Segarra,"Dalt del turó del poble, pista forestal sortint de la ctra. C-1412 km 32","Romànic, obra popular","XI-XII, XIII, XVII",41.76419,1.48076,BCIN,591-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Calonge_de_Segarra-PM_68097.jpg/218px-Calonge_de_Segarra-PM_68097.jpg
Castell de Mirambell (Calonge de Segarra),Calonge de Segarra,"A pocs metres de la pl. de l'Església, Mirambell",Romànic,XII-XIII,41.731007,1.489299,BCIN,592-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Castell_de_Mirambell_(Calonge_de_Segarra)_-_1.jpg/218px-Castell_de_Mirambell_(Calonge_de_Segarra)_-_1.jpg
Castelltort (Calonge de Segarra),Calonge de Segarra,"Camí de Castelltort, des del cementiri de Calaf",,XIII-XIV,41.719009,1.468536,BCIN,593-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Castelltort_(Calonge_de_Segarra)_-_1.jpg/218px-Castelltort_(Calonge_de_Segarra)_-_1.jpg
Monestir de Santa Maria del Priorat (Castellfollit de Riubregós),Castellfollit de Riubregós,Sortida al km 28 de la crta. C-1412,"Romànic, gòtic","XI-XII, XIV, XVIII",41.780331,1.434917,BCIN,90-MH,"http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Castellfollit_de_Riubregós,_Priorat_de_Santa_Maria-PM_45420.jpg/218px-Castellfollit_de_Riubregós,_Priorat_de_Santa_Maria-PM_45420.jpg"
Castell de Castellfollit (Castellfollit de Riubregós),Castellfollit de Riubregós,"Al cim de la població, camí des del c. Major",,XII-XIII,41.776428,1.436990,BCIN,654-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Castell_Castellfollit_IMG_0401.JPG/218px-Castell_Castellfollit_IMG_0401.JPG
Torre del Ballester (Castellfollit de Riubregós),Castellfollit de Riubregós,"Camí rural sortint de la crta. C-1412a km 28,2",Romànic,Medieval,41.777718,1.435443,BCIN,655-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Castellfollit_de_Riubregós-PM_68050.jpg/218px-Castellfollit_de_Riubregós-PM_68050.jpg
Castell de Castellolí,Castellolí,"Camí de Cal Bruguers, sortint per l'est del poble",Romànic,XII,41.588593,1.708341,BCIN,664-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Castell_de_Castellolí_20.jpg/218px-Castell_de_Castellolí_20.jpg
Castell de Copons,Copons,Desaparegut,,Medieval,,,BCIN,700-MH,
Església de Sant Jaume Sesoliveres (Igualada),Igualada,"C. de l'Ermita, 3",Romànic,XI,41.586842,1.586347,BCIN,139-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Ermita_de_Sant_Jaume_Sesoliveres.JPG/218px-Ermita_de_Sant_Jaume_Sesoliveres.JPG
Recinte emmurallat (Igualada),Igualada,Pg. de les Cabres,,XV,41.577854,1.617522,BCIN,943-MH-ZA,"http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Portal_de_la_font_Major,_a_Igualada.JPG/218px-Portal_de_la_font_Major,_a_Igualada.JPG"
Església de Santa Maria (Igualada),Igualada,"Pl. Santa Maria, 8","Renaixement, gòtic tardà, barroc","XVII, XIV, XVIII",41.578747,1.618048,BCIN,1854-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Santa_Maria_church-_Igualada.jpg/218px-Santa_Maria_church-_Igualada.jpg
Igualadina Cotonera (Igualada),Igualada,C. Joan Godó,,XIX,41.578785,1.610438,BCIN,3869-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Vista_de_la_Igualadina_Cotonera.JPG/218px-Vista_de_la_Igualadina_Cotonera.JPG
Castell de Jorba,Jorba,"Camí de Jorba, sortint del passatge del Castell",,Medieval,41.602081,1.545934,BCIN,955-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Castell_de_Jorba_-_2013_-_2.JPG/218px-Castell_de_Jorba_-_2013_-_2.JPG
Castell de Vilademàger (la Llacuna),La Llacuna,"Camí de Can Marquet o del Castell, sortint del carrer del Castell",Gòtic,Medieval,41.472809,1.550276,BCIN,962-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/0/07/La_Llacuna_-_Vilademàger.jpg/218px-La_Llacuna_-_Vilademàger.jpg
Restes de muralla i portals del poble de la Llacuna,La Llacuna,"Nucli antic, c. de la Muralla",Obra popular,XV-XVII,41.472645,1.532539,BCIN,963-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Portal_de_la_Banya_(La_Llacuna)_1.jpg/218px-Portal_de_la_Banya_(La_Llacuna)_1.jpg
Els Castellots (la Llacuna),La Llacuna,"Camí rural sortint de la crta. BV-2136 km 45,3",,Medieval,41.484213,1.558596,BCIN,964-MH,
Castellot del Mas Martí (la Llacuna),La Llacuna,"Camí rural sortint de la crta. BV-2136 km 45,3",,Medieval,41.483855,1.55994,BCIN,965-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Castellot_del_mas_Martí_1.jpg/218px-Castellot_del_mas_Martí_1.jpg
Castell de Masquefa,Masquefa,"Torrent de Can Cartró, riera de Masquefa (desaparegut)",Obra popular,Medieval,41.509105,1.808685,BCIN,1037-MH,
Torre de la Panadella (Montmaneu),Montmaneu,Desviament de la crta. B-100 sota l'A-2,,XIV-XV,41.619350,1.401957,BCIN,1087-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Torre_de_la_Panadella_2.jpg/218px-Torre_de_la_Panadella_2.jpg
Castell de Riquer (Montmaneu),Montmaneu,"Camí rural sortint de la crta. B-221 km 1,2",,Medieval,41.605453,1.392072,BCIN,1088-MH,
La Morera (Òdena),Òdena,Ctra. de les Malloles,Obra popular,Medieval-XVIII,41.620926,1.619861,BCIN,ZA,
Castell d'Òdena,Òdena,C. de la Torre,,XII-XIII,41.605988,1.639326,BCIN,1121-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Castell_d'Òdena_2.jpg/218px-Castell_d'Òdena_2.jpg
Castell d'Orpí,Orpí,Ctra. B-2132 km 0,Romànic,XI-XII,41.518791,1.575454,BCIN,1152-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Orpí_-_Castell.jpg/218px-Orpí_-_Castell.jpg
Castell de Piera,Piera,"Costa Maria Lleopart, 1",,"Medieval, XX",41.515949,1.741663,BCIN,1234-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Catalonia_Piera_Castell.JPG/218px-Catalonia_Piera_Castell.JPG
Castell del Freixe (Piera),Piera,"Camí rural sortint de la ctra. de Piera a Sant Sadurní BV-2242 km 7,7",,Medieval,41.480328,1.740957,BCIN,1235-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Castell_de_Freixe_IMG_3341.JPG/218px-Castell_de_Freixe_IMG_3341.JPG
Castell del Castellet (Piera),Piera,"C. del Pi, 61, urb. Castell de la Ventosa",Obra popular,Medieval,41.501804,1.733055,BCIN,1236-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Castell_de_la_Ventosa_IMG_3352.JPG/218px-Castell_de_la_Ventosa_IMG_3352.JPG
Castell de Claramunt (la Pobla de Claramunt),La Pobla de Claramunt,Camí del Castell sortint del c. d'Àngel Guimerà,"Romànic, gòtic",XII-XIV,41.554951,1.669398,BCIN,1275-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Castell_de_Claramunt_vist_des_del_Xaró.JPG/218px-Castell_de_Claramunt_vist_des_del_Xaró.JPG
Castell de Puigdemàger (els Prats de Rei),Els Prats de Rei,"Camí que surt de la ctra. de Calaf a Sant Pere Sallavinera, a l'alçada de l'Hostal del Bou",,,41.727360,1.550241,BCIN,1840-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Ruines_del_castell_de_Puigdemàger.jpg/218px-Ruines_del_castell_de_Puigdemàger.jpg
Torre del castell de la Manresana (els Prats de Rei),Els Prats de Rei,"Camí rural sortint de la crta. BV-1031, km 1,7",Romànic,XII,41.696758,1.552049,BCIN,1313-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Torre_de_la_Manresana.jpg/218px-Torre_de_la_Manresana.jpg
Castell de Pujalt,Pujalt,"C. del Castell, 9",,,41.717518,1.420650,BCIN,1326-MH,
Portal i murs de la vila (Pujalt),Pujalt,C. Major,,Medieval,41.716679,1.421375,BCIN,1327-MH,
Castell de la Guàrdia Pilosa (Pujalt),Pujalt,[[La Guàrdia Pilosa]]. Camí sortint des de l'oest de Sant Martí de Sesgueioles,Obra popular,Medieval,41.708375,1.471471,BCIN,1328-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Castell_i_esglesia.JPG/218px-Castell_i_esglesia.JPG
Castell de Montesquiu (Pujalt),Pujalt,Camí sortint des del nord de l'Astor (BV-1007),,Medieval,41.694073,1.424883,BCIN,1337-MH,
Castell de Conill (Pujalt),Pujalt,Ctra. B-141 a Mirambell-Conill-Pujalt (desaparegut),Obra popular,Medieval,41.725906,1.460881,BCIN,1339-MH,
Castell de Rubió,Rubió,"Ctra. BV-1037, km 6",,XIV,41.645,1.57025,BCIN,1330-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Castell_de_Rubió.jpg/218px-Castell_de_Rubió.jpg
Castell d'Ardesa (Rubió),Rubió,"Camí rural sortint de la ctra. BV-1037 km 2, entre el [[Puig de Sant Miquel (Rubió)|Puig de Sant Miquel]] i l'[[església de Sant Pere d'Ardesa]] (desaparegut)",Obra popular,Medieval,41.635171,1.58101,BCIN,1331-MH,
Castell de Vilallonga (Sant Martí Sesgueioles),Sant Martí Sesgueioles,"Camí rural sortint de la crta. BV-1001 km 3,5; a l'interior del poble (desconegut o desaparegut)",,,41.70233,1.50787,BCIN,1504-MH,
Pas cobert i restes de murs (Sant Martí Sesgueioles),Sant Martí Sesgueioles,C. Vell,,XIV,41.702545,1.488087,BCIN,1505-MH,
Castell de Tous (Sant Martí de Tous),Sant Martí de Tous,C. del Castell,,"Medieval, XVI-XX",41.559406,1.525423,BCIN,1502-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Catalonia-SantMartideTous-Castle.jpg/218px-Catalonia-SantMartideTous-Castle.jpg
Castell de Roqueta (Sant Martí de Tous),Sant Martí de Tous,"Camí de Cal Maginet, sortint de Tous",,,41.528629,1.484798,BCIN,1503-MH,
Castell de Boixadors (Sant Pere Sallavinera),Sant Pere Sallavinera,"Camí que surt de la ctra. de Manresa a Calaf, al trencall de la Llavinera","Romànic, gòtic","XI-XII, XIII, XVII",41.770438,1.574714,BCIN,1533-MH-ZA,"http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Castell_de_Boixadors_1_(Sant_Pere_Sallavinera,_Anoia).jpg/218px-Castell_de_Boixadors_1_(Sant_Pere_Sallavinera,_Anoia).jpg"
Castell de la Llavinera (Sant Pere Sallavinera),Sant Pere Sallavinera,La Llavinera (desaparegut),,,41.735683,1.555220,BCIN,1534-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Castell_de_la_Llavinera_(Sant_Pere_Sallavinera)_-_1.jpg/218px-Castell_de_la_Llavinera_(Sant_Pere_Sallavinera)_-_1.jpg
Castell de Montbui (Santa Margarida de Montbui),Santa Margarida de Montbui,"Crta. BV-2204, km 2, la Tossa de Montbui",Romànic,X-XI,41.555206,1.579858,BCIN,1407-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Castell_de_la_Tossa_de_Montbui.JPG/218px-Castell_de_la_Tossa_de_Montbui.JPG
La Casa Gran (Santa Margarida de Montbui),Santa Margarida de Montbui,"Pl. Major, 7",,XVII,41.556709,1.605591,BCIN,1410-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/La_Casa_Gran_(Santa_Margarida_de_Montbui)_1.jpg/218px-La_Casa_Gran_(Santa_Margarida_de_Montbui)_1.jpg
Castell d'Ocelló (Santa Margarida de Montbui),Santa Margarida de Montbui,"Camí rural sortint de la ctra. BV-2233 km 1, el Saió",Obra popular,Medieval,41.577617,1.562328,BCIN,1408-MH,
Castell de Miralles (Santa Maria de Miralles),Santa Maria de Miralles,"Camí rural sortint de la ctra. C-37 km 52,9; a la sortida del poble",,,41.518696,1.518189,BCIN,1417-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Castell_Miralles_IMG_0726.JPG/218px-Castell_Miralles_IMG_0726.JPG
Castell de la Torre de Claramunt,La Torre de Claramunt,C. del Castell,Obra popular,XVII-XVIII,41.533974,1.658198,BCIN,1639-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Castell_de_la_Torre_de_Claramunt_1.jpg/218px-Castell_de_la_Torre_de_Claramunt_1.jpg
Castell de Veciana,Veciana,"C. Vun, al costat de l'Ajuntament",Obra popular,Medieval,41.656223,1.488151,BCIN,1721-MH,
Castell de Montfalcó Gros (Veciana),Veciana,Montfalcó el Gros,,,41.657528,1.454124,BCIN,1722-MH,
Castell de Segur (Veciana),Veciana,Turó a la part est de Segur,,,41.683224,1.468914,BCIN,1723-MH,
Molins de Segur (Veciana),Veciana,"Camí que surt de la ctra. C-1412a de la Panadella a Calaf, km 45,7",,XVII-XVIII,41.681366,1.501058,BCIN,1724-MH-ZA,
Roca Roja (la Llacuna),La Llacuna,Clot de la Cova,"Abrics i similars amb representació gràfica, pintura",Epipaleolític (-9000/-5000). Ferro-Ibèric Ple (-450/-200),41.464726,1.486946,PH<br />BCIN,ZA,
Gravat rupestre prop carretera Igualada - els Prats de Rei (els Prats de Rei),Els Prats de Rei,,"Lloc amb representació gràfica sobre pedra, gravat ",Medieval (800/1150),41.692304,1.580112,BCIN,ZA,
Solanelles (els Prats de Rei),Els Prats de Rei,,"Lloc d'enterrament, Inhumació aïllat. Lloc amb representació gràfica sobre pedra, gravat.",Medieval (800/1150),41.721085,1.543893,BCIN,ZA,
Església de Santa Maria d'Agramunt,Agramunt,Pl. de l'Església,"Romànic, gòtic",XII,41.787225,1.099219,BCIN,1-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Santa_Maria_d'Agramunt_-_8.jpg/218px-Santa_Maria_d'Agramunt_-_8.jpg
Castell de Montclar (Agramunt),Agramunt,[[Montclar (Agramunt)|Montclar]],Renaixement,XVII,41.847886,1.040623,BCIN,2-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Castell_de_Montclar_d'Urgell-vista_de_la_cara_sud.JPG/218px-Castell_de_Montclar_d'Urgell-vista_de_la_cara_sud.JPG
Castell d'Agramunt,Agramunt,,,,41.787253,1.096566,BCIN,722-MH,
Pilar d'Almenara (Agramunt),Agramunt,Situat al [[Pilar d'Almenara]],Romànic,XI,41.753452,1.066962,BCIN,449-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Pilar_d'almenara.JPG/218px-Pilar_d'almenara.JPG
Castell de la Donzell (Agramunt),Agramunt,,Obra popular,XVI,41.835178,1.092923,BCIN,450-MH,"http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/La_Donzell_d'Urgell,_la_placeta.jpg/218px-La_Donzell_d'Urgell,_la_placeta.jpg"
Ajuntament (Agramunt),Agramunt,Pl. de l'Església,Barroc,XVIII,41.787088,1.098882,BCIN,249-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Ajuntament_Agramunt.jpg/218px-Ajuntament_Agramunt.jpg
Sepulcre de Ramon Folc de Cardona (Bellpuig),Bellpuig,Interior de l'església de Sant Nicolau,Renaixement,XVI,41.625131,1.012293,BCIN,66-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Ramon_Folc_de_Cardona-Anglesola.jpg/218px-Ramon_Folc_de_Cardona-Anglesola.jpg
Convent de Sant Bartomeu (Bellpuig),Bellpuig,Ctra. de Belianes,"Gòtic tardà, renaixement","XVI, XX",41.620456,1.008830,BCIN,79-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Pati_del_Convent_de_Sant_Bartomeu.JPG/218px-Pati_del_Convent_de_Sant_Bartomeu.JPG
Castell de Bellpuig,Bellpuig,,"Obra popular, romànic","XI, XVI, XIX",41.626399,1.010941,BCIN,531-MH,
Creu de terme (Castellserà),Castellserà,Pl. Sitjar,Gòtic-renaixement,XVI,41.747494,0.985871,BCIN,3936-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Castellserà_-_Creu_de_terme.jpg/218px-Castellserà_-_Creu_de_terme.jpg
La Panera (Castellserà),Castellserà,C. de Santa Maria,Renaixement,"XVI, XX",41.747272,0.986406,BCIN,323-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Panera_de_Castellserà.jpg/218px-Panera_de_Castellserà.jpg
Castell de Ciutadilla,Ciutadilla,,Renaixement,"Medieval, XVI",41.561067,1.140894,BCIN,330-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Castell_de_Ciutadilla_RI-51-0006308.jpg/218px-Castell_de_Ciutadilla_RI-51-0006308.jpg
Murs i portals de l'antiga Vila Closa (la Fuliola),La Fuliola,,Obra popular,XV,41.712927,1.018186,BCIN,873-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/La_Fuliola_—_mur_de_l'antiga_vila_closa.jpg/218px-La_Fuliola_—_mur_de_l'antiga_vila_closa.jpg
Castell de Guimerà,Guimerà,,Romànic,Medieval,41.565206,1.186113,BCIN,1184-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Guimera_Lleida_Torre.jpg/218px-Guimera_Lleida_Torre.jpg
Vila de Guimerà,Guimerà,,Gòtic,XII,41.56451,1.18493,BCIN,126-CH,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/175_Guimerà.jpg/218px-175_Guimerà.jpg
Castell de Maldà,Maldà,,Gòtic,"XIII, XV, XVII",41.551412,1.037892,BCIN,1012-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Pati_castell.JPG/218px-Pati_castell.JPG
Castell de Nalec,Nalec,,,,,,BCIN,1110-MH,
Torre Rodona (Ossó de Sió),Ossó de Sió,"Pl. Castell Lliuró, Castellnou d'Ossó",Romànic,XI,41.768047,1.144209,BCIN,1158-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Castell_de_Castellnou_d'Ossó.JPG/218px-Castell_de_Castellnou_d'Ossó.JPG
Castell de Puigverd (Puigverd d'Agramunt),Puigverd d'Agramunt,,Barroc,XVI,41.777186,1.122377,BCIN,1441-MH,
Castell de Sant Martí (Sant Martí de Riucorb),Sant Martí de Riucorb,,,,41.56072,1.05366,BCIN,1501-MH,
Muralles (Tàrrega),Tàrrega,C. Migdia,Obra popular,XIV,41.644073,1.138855,BCIN,ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/MURALLES_TARREGA.JPG/218px-MURALLES_TARREGA.JPG
Ermita de Sant Eloi (Tàrrega),Tàrrega,Muntanya de Sant Eloi,Obra popular,"XIII, XVIII, XIX",41.650896,1.136105,BCIN,221-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/b/be/EREMITA_SANT_ELOI.JPG/218px-EREMITA_SANT_ELOI.JPG
Castell de Tàrrega,Tàrrega,,Obra popular,,41.645567,1.139124,BCIN,1605-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Castell_de_Tàrrega.JPG/218px-Castell_de_Tàrrega.JPG
Castell de la Figuerosa (Tàrrega),Tàrrega,,Obra popular,,41.697658,1.168665,BCIN,1606-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/RESTES_CASTELL_DE_LA_FIGUEROSSA.JPG/218px-RESTES_CASTELL_DE_LA_FIGUEROSSA.JPG
Castell d'Altet (Tàrrega),Tàrrega,,,XVI-XVIII,41.684189,1.143413,BCIN,1607-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Altet_—_Castell.JPG/218px-Altet_—_Castell.JPG
Castell de Riudovelles (Tàrrega),Tàrrega,,,,41.714585,1.194851,BCIN,1608-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Riudovelles_—_vista_castell.jpg/218px-Riudovelles_—_vista_castell.jpg
Castell de l'Ofegat (Tàrrega),Tàrrega,,Romànic,,41.670645,1.155928,BCIN,1609-MH,
Castell de Claravalls (Tàrrega),Tàrrega,,Gòtic,XVII,41.702805,1.126466,BCIN,1610-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Claravalls_-_Castell.jpg/218px-Claravalls_-_Castell.jpg
Torre de la Guàrdia de Déu (Tornabous),Tornabous,"Pl. de la Torre, la Guàrdia",Romànic,XII,41.721482,1.055993,BCIN,4003-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/8/81/La_Guàrdia_d'Urgell_—_Torre.jpg/218px-La_Guàrdia_d'Urgell_—_Torre.jpg
Molí de l'Espígol (Tornabous),Tornabous,Descampat,Obra popular,XIX,41.70694,1.07696,BCIN,ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Molí_d'Espígol_cap_de_setmana_ibèric_2009.JPG/218px-Molí_d'Espígol_cap_de_setmana_ibèric_2009.JPG
Monestir de Santa Maria de Vallbona (Vallbona de les Monges),Vallbona de les Monges,,"Romànic, gòtic",XII,41.524521,1.088196,BCIN,235-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Monestir_de_Santa_Maria_de_Vallbona_(Vallbona_de_les_Monges)_-_2.jpg/218px-Monestir_de_Santa_Maria_de_Vallbona_(Vallbona_de_les_Monges)_-_2.jpg
Castell de Montesquiu (Vallbona de les Monges),Vallbona de les Monges,,,,41.505573,1.119256,BCIN,1707-MH,
Castell de Rocallaura (Vallbona de les Monges),Vallbona de les Monges,,,Medieval,41.507202,1.148312,BCIN,1708-MH,
Castell de Verdú,Verdú,Pl. Bisbe Comelles,"Romànic, gòtic",XI,41.610893,1.144186,BCIN,1738-MH-ZA,"http://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/121_Castell,_façana_sud.jpg/218px-121_Castell,_façana_sud.jpg"
Muralla de Verdú,Verdú,,,"XII-XIV, XVI-XVIII",41.61136,1.14338,BCIN,1751-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/140_Muralla_nord_i_campanar_de_Santa_Maria.jpg/218px-140_Muralla_nord_i_campanar_de_Santa_Maria.jpg
Salmorany (Ciutadilla),Ciutadilla,,"Lloc d'habitació amb estructures peribles. Lloc amb representació gràfica sobre pedra, gravat.",Bronze (-1800/-650),41.567581,1.135347,BCIN,ZA,
Torre del Riu (Alp),Alp,Av. de la Molina,Historicisme,XIX-XX,42.371822,1.897956,BCIN,755-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Alp_-_Torre_del_Riu.jpg/218px-Alp_-_Torre_del_Riu.jpg
La Torrassa (Alp),Alp,[[Collada de Toses]],,XV,42.3496861,1.9440389,BCIN,756-MH-ZA,
Església de Sant Julià de Pedra (Bellver de Cerdanya),Bellver de Cerdanya,[[Pedra (Bellver de Cerdanya)|Pedra]],Romànic,"XI-XII, XVII-XVIII",42.34501,1.810552,BCIN,67-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Sant_Julià_de_Pedra2.jpg/218px-Sant_Julià_de_Pedra2.jpg
Església de Santa Eugènia de Nerellà (Bellver de Cerdanya),Bellver de Cerdanya,[[Santa Eugènia de Nerellà]],"Romànic, barroc","XI, XVIII",42.358925,1.735328,BCIN,68-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Església_Santa_Eugènia_de_Nerellà.jpg/218px-Església_Santa_Eugènia_de_Nerellà.jpg
Castell de Bellver (Bellver de Cerdanya),Bellver de Cerdanya,,,XIII,42.370882,1.773595,BCIN,791-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Castell_de_Bellver_de_Cerdanya.jpg/218px-Castell_de_Bellver_de_Cerdanya.jpg
Torre la Presó (Bellver de Cerdanya),Bellver de Cerdanya,C. de la Muralla,Gòtic,XIII-XVII,42.370426,1.77559,BCIN,740-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Bellver_de_Cerdanya_Torre_la_Preso.JPG/218px-Bellver_de_Cerdanya_Torre_la_Preso.JPG
Castell de Sant Martí dels Castells (Bellver de Cerdanya),Bellver de Cerdanya,Sant Martí dels Castells,Romànic,XIII,42.365107,1.712941,BCIN,790-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Sant_Martí_dels_Castells_-_Bellver_de_Cerdanya.jpg/218px-Sant_Martí_dels_Castells_-_Bellver_de_Cerdanya.jpg
Torre de Cadell (Bellver de Cerdanya),Bellver de Cerdanya,,,XVI,42.354816,1.799644,BCIN,534-MH,
Església de Santa Maria de Talló (Bellver de Cerdanya),Bellver de Cerdanya,[[Talló]],Romànic,"XII, XVI, XVIII",42.363656,1.780436,BCIN,1883-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Església_de_Santa_Maria_de_Talló_(Cerdanya).jpg/218px-Església_de_Santa_Maria_de_Talló_(Cerdanya).jpg
La Torre de Bolvir,Bolvir,,,XVI-XVII,42.4224806,1.8827778,BCIN,556-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Torre_de_Bolvir_171.JPG/218px-Torre_de_Bolvir_171.JPG
La Torre de Das,Das,,Obra popular,Medieval,42.359903,1.866807,BCIN,815-MH-ZA,
Castell de la Llosa (Lles de Cerdanya),Lles de Cerdanya,,Romànic,Medieval,42.442487,1.701985,BCIN,984-MH,
Castell de Viliella (Lles de Cerdanya),Lles de Cerdanya,Viliella,Obra popular,Medieval,42.410382,1.694082,BCIN,985-MH-ZA,
Castell de Travesseres (Lles de Cerdanya),Lles de Cerdanya,[[Travesseres]],,,42.377426,1.688890,BCIN,986-MH,
Castell de Lles (Lles de Cerdanya),Lles de Cerdanya,,Obra popular,Medieval,42.389340,1.689977,BCIN,987-MH,
Mas Barnola (Lles de Cerdanya),Lles de Cerdanya,,,XVII-XVIII,42.401675,1.689271,BCIN,358-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Mas_Barnola_(Lles_de_Cerdanya).jpg/218px-Mas_Barnola_(Lles_de_Cerdanya).jpg
Castell d'Arànser (Lles de Cerdanya),Lles de Cerdanya,"Arànser, localització incerta",,Medieval,42.406496,1.672485,BCIN,989-MH,
Castell de Llívia,Llívia,Puig de Llívia,Obra popular,Medieval,42.467668,1.986166,BCIN,993-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Castell_llivia.jpg/218px-Castell_llivia.jpg
Torre de Bernat de So (Llívia),Llívia,C. dels Forns,Obra popular,XIV,42.464965,1.982162,BCIN,1196-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Llívia_torre_i_castell.jpg/218px-Llívia_torre_i_castell.jpg
